entry,attribution
AB,Smith
ABACK,Knolles
ABACK,Dickens
ABACK,Jonson
ABACTINAL,Agassiz
ABACUS,Crabb
ABADDON,Milton
ABAISER,Weale
ABALIENATE,Sandys
ABAND,Spenser
ABANDON,Udall
ABANDON,Shak
ABANDON,Taylor
ABANDON,Macaulay
ABANDONMENT,Burke
ABARTICULATION,Coxe
ABASE,Shelton
ABASH,Milton
ABASH,Macaulay
ABASH,Milton
ABATE,Hall
ABATE,Fuller
ABATE,Bacon
ABATE,Shak
ABATE,Macaulay
ABATE,Browne
ABATOR,Blackstone
ABATURE,Crabb
ABAXIAL; ABAXILE,Balfour
ABBE,Littré
ABBOT,Encyc
ABBOT,Brit
ABBREVIATION,Tylor
ABBREVIATION,Moore
ABBREVIATURE,Taylor
ABB WOOL,Shak
ABDEST,Heyse
ABDICANT,Whitlock
ABDICANT,Smart
ABDICATE,Gibbon
ABDICATE,Burke
ABDICATE,Froude
ABDICATE,Hall
ABDICATE,Burke
ABDITORY,Cowell
ABDOMINAL,Abdominales
ABDOMINOUS,Cowper
ABDUCE,Browne
ABDUCTION,Roget
ABEAR,Spenser
ABEARING,More
ABECEDARIAN,Wood
ABED,Shak
ABED,Shak
ABELE,Browning
ABERR,Browne
ABERRATE,De Quincey
ABERRATION,Taylor
ABET,Taylor
ABEVACUATION,Mayne
ABEYANCE,Blackstone
ABEYANCE,De Quincey
ABHOR,Shak
ABHOR,Shak
ABHOR,Milton
ABHORRENT,Burke
ABHORRENT,Clover
ABHORRENT,Taylor
ABHORRER,Hume
ABHORRING,Milton
ABIB,Kitto
ABIDANCE,Helps
ABIDE,Fielding
ABIDE,Tennyson
ABIDE,Shak
ABIDE,Milton
ABIDER,Speed
ABIDINGLY,Carlyle
ABIETIC,Watts
ABIETIN; ABIETINE,Watts
ABIETITE,Cyc
ABIGAIL,Pepys
ABIGAIL,Leslie
ABILITY,Bacon
ABIOGENIST,Huxley
ABJECT,Milton
ABJECT,Shak
ABJECT,Taylor
ABJECTION,Taylor
ABJUNCTIVE,Taylor
ABJURE,Burnet
ABLACTATION,Blount
ABLATION,Taylor
ABLATION,Dunglison
ABLATION,Tyndall
ABLATITIOUS,Herschel
ABLATIVE,Hall
ABLAUT,Earle
ABLAZE,Milman
ABLAZE,Longfellow
ABLE,Chaucer
ABLE,Macaulay
ABLE,Chaucer
ABLE,Hall
ABLEGATION,Taylor
ABLOOM,Masson
ABLUDE,Hall
ABNEGATE,Farrar
ABNEGATION,Knox
ABNORMALITY,Abnormalities
ABNORMALLY,Darwin
ABNORMITY,Whitney
ABNORMOUS,Hallam
ABNORMOUS,State Trials
ABODE,Spenser
ABODE,Fielding
ABODE,Wordsworth
ABOLISH,Spenser
ABOLISHMENT,Hooker
ABOLITIONISM,Wilberforce
ABOMINABLE,Marsh
ABOMINABLENESS,Bentley
ABOMINATION,Shak
ABOMINATION,Scott
ABOON,Scott
ABOON,Drake
ABORD,Chesterfield
ABORIGINAL,Darwin
ABORIGINALITY,Rev
ABORSEMENT,Hall
ABORT,Wotton
ABORTED,Owen
ABORTION,Abbott
ABORTIONAL,Carlyle
ABORTIVE,Parr
ABORTIVE,Dunglison
ABOUND,Macaulay
ABOUND,Addison
ABOUT,Macaulay
ABOUT,Milton
ABOUT,Trollope
ABOUT,Shak
ABOUT-SLEDGE,Weale
ABOVEDECK,Smart
ABRADE,Lyell
ABRAHAM-MAN; ABRAM-MAN,Goldsmith
ABRASE,Jonson
ABRASION,Berkeley
ABRASION,Dunglison
ABRASIVE,Ure
ABREAST,Fuller
ABRENUNCIATION,Fuller
ABREUVOIR,Gwilt
ABRIDGE,Fuller
ABRIDGMENT,Addison
ABROACH,Scott
ABROAD,Prior
ABROAD,Evelyn
ABROGATE,South
ABROGATE,Burke
ABROGATE,Shak
ABROGATION,Hume
ABROOD,Sancroft
ABRUPT,Jonson
ABRUPT,Gray
ABRUPT,Browne
ABRUPTLY,Gray
ABSCISS,Abscisses
ABSCISSION,Taylor
ABSCISSION,Browne
ABSCOND,Ray
ABSCOND,Macaulay
ABSENCE,Phil
ABSENCE,Landor
ABSENT,Chesterfield
ABSENTATION,Hamilton
ABSENTEE,Macaulay
ABSENTNESS,Miller
ABSINTHIN,Watts
ABSOLUTE,Milton
ABSOLUTE,Hamilton
ABSOLUTE,Shak
ABSOLUTE,Browning
ABSOLUTION,Cyc
ABSOLUTION,Shipley
ABSOLUTISM,Palfrey
ABSOLUTISM,Ash
ABSOLUTIST,Hamilton
ABSOLVE,Macaulay
ABSOLVE,Gibbon
ABSOLVE,Milton
ABSOLVE,Browne
ABSOLVER,Macaulay
ABSORB,Irving
ABSORB,Bacon
ABSORB,Milman
